,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
53,53,2019-04-01,4151.32,4164.33,4082.2,4112.69,36921.55,152826759.02,NO_PATTERN,0.0
54,54,2019-04-02,4906.93,5104.42,4147.7,4151.32,172473.31,814748125.73,CDLBELTHOLD_Bull,1.0
55,55,2019-04-03,4976.59,5335.7,4831.59,4906.93,159843.43,809158339.99,CDLADVANCEBLOCK_Bear,2.0
56,56,2019-04-04,4913.36,5071.98,4799.77,4976.59,74544.88,370109007.61,CDLSPINNINGTOP_Bear,1.0
57,57,2019-04-05,5047.23,5074.13,4897.61,4913.36,56130.82,280722247.3,CDLBELTHOLD_Bull,1.0
58,58,2019-04-06,5057.25,5240.19,4938.0,5047.23,54180.91,275839573.8,CDLRICKSHAWMAN_Bull,5.0
59,59,2019-04-07,5201.16,5266.04,5044.28,5057.25,47200.43,243329883.48,CDLBELTHOLD_Bull,1.0
60,60,2019-04-08,5294.09,5347.88,5141.23,5201.16,69803.56,366577921.18,NO_PATTERN,0.0
61,61,2019-04-09,5201.3,5294.09,5159.13,5294.09,48552.25,253577595.39,NO_PATTERN,0.0
62,62,2019-04-10,5318.6,5460.94,5178.61,5201.3,65813.81,349643837.46,CDLHIKKAKE_Bear,1.0
63,63,2019-04-11,5048.56,5343.66,4987.65,5318.6,69622.86,356811374.12,CDLBELTHOLD_Bear,2.0
64,64,2019-04-12,5081.5,5118.61,4927.62,5048.56,43762.94,220667543.59,CDLRICKSHAWMAN_Bull,4.0
65,65,2019-04-13,5080.66,5128.96,5056.19,5081.5,23342.24,118956124.9,CDLRICKSHAWMAN_Bull,6.0
66,66,2019-04-14,5165.59,5186.82,5031.2,5080.66,21193.03,108148233.81,NO_PATTERN,0.0
67,67,2019-04-15,5037.27,5195.31,4969.31,5165.59,40402.46,205867031.18,NO_PATTERN,0.0
68,68,2019-04-16,5212.81,5232.03,5029.16,5037.27,40370.0,207311534.31,CDLBELTHOLD_Bull,3.0
69,69,2019-04-17,5236.26,5270.76,5190.81,5212.81,37225.68,194699629.15,NO_PATTERN,0.0
70,70,2019-04-18,5289.75,5317.78,5232.99,5236.26,35511.12,187312150.44,CDLADVANCEBLOCK_Bear,1.0
71,71,2019-04-19,5295.53,5353.01,5212.18,5289.75,30109.97,158699049.55,CDLRICKSHAWMAN_Bull,5.0
72,72,2019-04-20,5326.18,5366.6,5274.45,5295.53,23214.49,123577001.56,NO_PATTERN,0.0
73,73,2019-04-21,5305.74,5348.59,5232.77,5326.18,25466.81,134681237.4,CDLSPINNINGTOP_Bear,1.0
74,74,2019-04-22,5394.67,5444.76,5265.73,5305.74,45346.65,242498187.66,NO_PATTERN,0.0
75,75,2019-04-23,5539.1,5626.83,5371.31,5394.67,66448.85,368556751.66,NO_PATTERN,0.0
76,76,2019-04-24,5454.58,5633.0,5390.98,5539.1,61651.16,339093001.24,NO_PATTERN,0.0
77,77,2019-04-25,5162.67,5521.61,5031.69,5454.58,70755.72,374798664.87,NO_PATTERN,0.0
78,78,2019-04-26,5234.09,5361.94,5104.18,5162.67,70191.21,366773360.18,NO_PATTERN,0.0
79,79,2019-04-27,5229.48,5282.97,5192.45,5234.09,21692.98,113430273.96,CDLRICKSHAWMAN_Bull,5.0
80,80,2019-04-28,5272.45,5313.7,5218.42,5233.47,25294.87,133564683.52,CDLHIKKAKE_Bear,1.0
81,81,2019-04-29,5237.96,5299.51,5162.81,5272.45,31947.44,167206787.27,NO_PATTERN,0.0
82,82,2019-04-30,5350.64,5372.23,5224.64,5237.96,32567.46,172540196.26,CDLBELTHOLD_Bull,1.0
83,83,2019-05-01,5389.54,5417.17,5346.7,5350.64,27410.57,147345369.73,NO_PATTERN,0.0
84,84,2019-05-02,5500.72,5531.15,5387.29,5389.54,35089.37,192256639.91,CDLBELTHOLD_Bull,1.0
85,85,2019-05-03,5753.38,5891.9,5484.78,5500.72,75434.86,432335283.61,CDLBELTHOLD_Bull,1.0
86,86,2019-05-04,5840.08,5901.36,5596.15,5753.38,45628.34,263390273.68,CDLADVANCEBLOCK_Bear,1.0
87,87,2019-05-05,5794.14,5849.5,5709.74,5840.08,25481.48,147662500.76,NO_PATTERN,0.0
88,88,2019-05-06,5748.17,5823.67,5644.15,5794.14,34979.71,200316185.51,CDLHIKKAKE_Bull,1.0
89,89,2019-05-07,5819.57,6031.54,5748.17,5748.17,59556.89,353043890.95,NO_PATTERN,0.0
90,90,2019-05-08,5998.71,6032.25,5753.08,5819.57,40967.62,241917027.36,CDLHIKKAKE_Bull,1.0
91,91,2019-05-09,6171.96,6194.91,5988.65,5998.71,51005.27,310336580.16,CDLBELTHOLD_Bull,1.0
92,92,2019-05-10,6358.29,6444.57,6133.21,6171.96,68160.13,430403405.14,NO_PATTERN,0.0
93,93,2019-05-11,7191.36,7394.94,6357.02,6358.29,135248.42,933141315.95,CDLBELTHOLD_Bull,1.0
94,94,2019-05-12,6977.63,7541.61,6793.21,7191.36,142892.25,1023203366.46,NO_PATTERN,0.0
95,95,2019-05-13,7806.36,8127.75,6873.42,6977.63,149082.57,1140302646.6,NO_PATTERN,0.0
96,96,2019-05-14,7980.13,8297.02,7631.34,7806.36,122383.06,976094121.29,CDLSPINNINGTOP_Bull,1.0
97,97,2019-05-15,8183.83,8263.29,7849.92,7980.13,86162.62,694202804.31,NO_PATTERN,0.0
98,98,2019-05-16,7874.11,8352.25,7679.05,8183.83,95341.68,762104107.69,NO_PATTERN,0.0
99,99,2019-05-17,7371.96,7930.98,6668.67,7874.11,141482.93,1023961962.83,CDLBELTHOLD_Bear,1.0
100,100,2019-05-18,7266.08,7491.67,7213.72,7371.96,41327.89,303317486.98,NO_PATTERN,0.0
101,101,2019-05-19,8193.14,8281.66,7257.26,7266.08,91218.12,723011166.2,CDLBELTHOLD_Bull,2.0
102,102,2019-05-20,7998.29,8193.14,7591.85,8193.14,80672.83,637617163.27,NO_PATTERN,0.0
103,103,2019-05-21,7947.93,8102.32,7807.77,7998.29,45005.01,357803946.85,CDLRICKSHAWMAN_Bull,5.0
104,104,2019-05-22,7626.89,8033.76,7533.66,7947.93,54216.74,424501866.33,CDLHIKKAKE_Bull,1.0
105,105,2019-05-23,7876.5,7971.26,7478.74,7626.89,50121.07,386766321.19,NO_PATTERN,0.0
106,106,2019-05-24,7996.4,8165.45,7801.57,7876.5,51604.15,413162746.86,NO_PATTERN,0.0
107,107,2019-05-25,8059.13,8140.82,7948.68,7996.4,22294.65,179206342.03,NO_PATTERN,0.0
108,108,2019-05-26,8726.23,8779.0,7894.53,8059.13,57648.95,483663699.62,CDLCLOSINGMARUBOZU_Bull,1.0
109,109,2019-05-27,8785.17,8931.53,8668.46,8726.23,57692.17,507164714.76,NO_PATTERN,0.0
110,110,2019-05-28,8718.85,8818.71,8562.2,8785.17,41445.13,360752199.95,CDLHAMMER_Bull,1.0
111,111,2019-05-29,8664.56,8760.48,8444.1,8718.85,44056.71,380343928.72,NO_PATTERN,0.0
112,112,2019-05-30,8276.25,9065.89,8027.21,8664.56,95189.06,815525590.67,NO_PATTERN,0.0
113,113,2019-05-31,8550.67,8570.78,8116.0,8276.25,60143.23,502056527.56,CDLCLOSINGMARUBOZU_Bull,1.0
114,114,2019-06-01,8555.87,8619.21,8459.65,8550.67,26884.15,229736992.43,CDLRICKSHAWMAN_Bull,6.0
115,115,2019-06-02,8737.91,8819.9,8547.48,8555.87,25506.14,221708083.06,NO_PATTERN,0.0
116,116,2019-06-03,8114.49,8740.24,8073.18,8737.91,63486.15,534972187.72,CDLCLOSINGMARUBOZU_Bear,4.0
117,117,2019-06-04,7677.47,8114.49,7463.94,8114.49,103552.9,809220381.24,CDLBELTHOLD_Bear,1.0
118,118,2019-06-05,7791.29,7917.14,7591.88,7677.47,49771.65,387021977.02,NO_PATTERN,0.0
